Nationality;Country_of_Residence;Date_of_birth;Unique_Trader_id;Amount;Currency;Unique_Stock_ID;First_Name;Last_Name
AD;AD;4101970;4996;25592.91;EUR;41;SELL;First56;Last56
AE;AE;21101955;9681;38931.50;AED;32;BUY;First39;Last39
AF;AF;8051975;3881;41535.78;AFN;80;BUY;First52;Last52
AG;AG;4081955;5969;60336.31;XCD;49;SELL;First60;Last60
AI;AI;26071958;9432;51072.07;XCD;715;SELL;First58;Last58
AL;AL;30111960;2934;95317.97;ALL;251;BUY;First53;Last53
AM;AM;22011971;3547;96237.46;AMD;414;SELL;First62;Last62
AO;AO;9011980;4220;4678.16;AOA;366;SELL;First57;Last57
AQ;AQ;30101970;342;90060.18;XCD;147;SELL;First59;Last59
AR;AR;7111976;7022;26998.45;ARS;767;SELL;First61;Last61
AS;AS;5021975;3471;26865.90;USD;671;BUY;First55;Last55
AT;AT;28051956;5252;8386.34;EUR;551;SELL;First65;Last65
AU;AU;7101959;1087;68152.20;AUD;580;SELL;First64;Last64
AW;AW;1071960;1103;19143.15;AWG;571;SELL;First63;Last63
AX;AX;19121960;2022;93065.53;EUR;817;BUY;First51;Last51
AZ;AZ;6031978;9569;30961.32;AZN;638;SELL;First66;Last66
BA;BA;4011955;104;29437.96;BAM;260;BUY;First78;Last78
BB;BB;18031968;4324;75433.93;BBD;6;SELL;First70;Last70
BD;BD;4021956;4338;85199.67;BDT;382;SELL;First69;Last69
BE;BE;6021965;5375;7661.33;EUR;218;SELL;First72;Last72
BF;BF;26081978;2642;89571.57;XOF;753;BUY;First86;Last86
BG;BG;14011978;1195;49678.04;BGN;513;BUY;First85;Last85
BH;BH;30031972;3932;92741.36;BHD;257;SELL;First68;Last68
BI;BI;15011958;8387;9558.70;BIF;32;BUY;First87;Last87
BJ;BJ;12041972;8952;4789.36;XOF;561;SELL;First74;Last74
BL;BL;27111973;9694;4338.66;EUR;80;BUY;First4;Last4
BM;BM;8031964;1048;16751.35;BMD;609;BUY;First75;Last75
BN;BN;14061956;266;89596.76;BND;434;BUY;First84;Last84
BO;BO;3041959;2626;30951.74;BOB;898;BUY;First77;Last77
BQ;BQ;25111971;8016;37266.24;USD;642;SELL;First92;Last92
BR;BR;25031970;380;92390.13;BRL;443;BUY;First81;Last81
BS;BS;28021965;1099;61878.95;BSD;378;SELL;First67;Last67
BT;BT;1021968;7547;96467.87;INR;465;BUY;First76;Last76
BV;BV;6011972;7327;83594.23;BWP;757;BUY;First80;Last80
BW;BW;23031969;6187;54560.43;BWP;132;BUY;First79;Last79
BY;BY;23031958;1414;700.14;BYR;231;SELL;First71;Last71
BZ;BZ;1121963;9738;50563.55;BZD;497;SELL;First73;Last73
CA;CA;16041978;3633;68924.77;CAD;407;SELL;First90;Last90
CC;CC;27091963;8576;53828.84;CNY;817;SELL;First99;Last99
CD;CD;13021957;1350;74277;XAF;817;SELL;First103;Last103
CF;CF;24101971;3706;36154.30;XAF;106;SELL;First94;Last94
CG;CG;12061966;556;13963.74;XAF;160;SELL;First102;Last102
CH;CH;8051975;8749;48621.86;CHF;580;BUY;First16;Last16
CI;CI;23061972;5407;62800.04;XOF;414;SELL;Fname53;Lname53
CI;CI;28051955;7522;81168;XOF;147;BUY;First111;Last111
CK;CK;7091960;5757;74845.46;NZD;671;BUY;Fname46;Lname46
CK;CK;12041955;3394;40662;NZD;80;SELL;First104;Last104
CL;CL;15031955;2850;93136.27;CLP;272;SELL;First96;Last96
CM;CM;14061970;1995;56281.97;XAF;628;SELL;First89;Last89
CN;CN;16071965;3265;41443.97;CNY;574;SELL;First97;Last97
CO;CO;28041978;5152;10978.02;COP;80;SELL;First100;Last100
CR;CR;16121976;6097;56595.73;CRC;41;BUY;Fname47;Lname47
CR;CR;31031972;4632;81404;CRC;251;SELL;First105;Last105
CU;CU;13081967;2299;20357.89;CUP;715;BUY;Fname49;Lname49
CU;CU;26051976;7328;63940;CUP;671;BUY;First107;Last107
CV;CV;12111961;5350;31910.55;CVE;170;SELL;First91;Last91
CW;CW;3061962;6043;80618.76;ANG;147;BUY;Fname50;Lname50
CW;CW;27011971;5797;10537;ANG;41;BUY;First108;Last108
CX;CX;7031965;5231;91385.68;CNY;330;SELL;First98;Last98
CY;CY;10051968;9027;92059.22;EUR;49;SELL;Fname51;Lname51
CY;CY;17041975;1086;21043;EUR;366;BUY;First109;Last109
CZ;CZ;30071971;7748;68125.31;;767;SELL;Fname52;Lname52
CZ;CZ;4051961;2865;23659;EUR;715;BUY;First110;Last110
DE;DE;15021962;6167;77996.46;EUR;513;SELL;Fname76;Lname76
DE;DE;15021962;6167;55422.21;EUR;753;SELL;Fname76;Lname76
DE;DE;15021962;6167;37469.97;EUR;32;SELL;Fname76;Lname76
DE;DE;15021962;6167;25803.35;EUR;395;SELL;Fname76;Lname76
DE;DE;15021962;6167;79998.55;EUR;628;SELL;Fname76;Lname76
DE;DE;15021962;6167;51014.09;EUR;407;SELL;Fname76;Lname76
DE;DE;15021962;6167;23283.93;EUR;170;SELL;Fname82;Lname82
DE;DE;9121974;9060;39140;EUR;484;SELL;First134;Last134
DI;DI;22081972;2695;89230;MOP;132;BUY;First179;Last179
DJ;DJ;11081966;337;51092.62;DJF;580;SELL;Fname55;Lname55
DJ;DJ;2071967;7571;9662;DJF;767;BUY;First113;Last113
DK;DK;17031965;6096;22536.14;DKK;571;SELL;Fname54;Lname54
DK;DK;25011976;7633;8061;DKK;49;BUY;First112;Last112
DM;DM;6031963;9974;37384.15;XCD;551;SELL;Fname56;Lname56
DM;DM;22041974;9358;93337;XCD;414;BUY;First114;Last114
DO;DO;24061955;6577;14370.65;DOP;638;SELL;Fname57;Lname57
DZ;DZ;13061978;7042;78123.97;DZD;160;BUY;First54;Last54
EC;EC;17041974;5460;13797.22;USD;378;SELL;Fname58;Lname58
EC;EC;8121975;4499;63552;USD;580;BUY;First116;Last116
EE;EE;12031961;3847;84618.71;EUR;218;SELL;Fname63;Lname63
EE;EE;8011974;3252;15249;EUR;382;BUY;First121;Last121
EG;EG;28041959;2618;46936.68;EGP;257;SELL;Fname59;Lname59
EG;EG;28021964;6221;7941;EGP;551;BUY;First117;Last117
