Nationality;Country_of_Residence;Date_of_birth;Unique_Trader_id;Amount;Currency;Unique_Stock_ID;Buy_or_Sell;First_Name;Last_Name
KZ;KZ;1021974;1257;94152;KZT;551;SELL;First165;Last165
LA;LA;21071963;8139;13434.12;LAK;382;BUY;Fname112;Lname112
LA;LA;15101964;892;33792;LAK;6;SELL;First170;Last170
LB;LB;1121960;8185;4816.93;LBP;231;BUY;Fname114;Lname114
LB;LB;14021962;2740;33993;LBP;218;SELL;First172;Last172
LC;LC;18041964;5402;43694.21;XCD;671;SELL;First7;Last7
LI;LI;20041955;1810;57958.82;CHF;609;BUY;Fname118;Lname118
LI;LI;19051962;3971;93868;CHF;465;BUY;First176;Last176
LK;LK;21011970;2040;89247.90;LKR;817;BUY;First3;Last3
LR;LR;23011971;8149;72947.86;LRD;497;BUY;Fname116;Lname116
LR;LR;30031966;8319;89106;LRD;561;SELL;First174;Last174
LS;LS;27051962;7102;68784.34;ZAR;218;BUY;Fname115;Lname115
LS;LS;7021957;4239;50806;ZAR;497;SELL;First173;Last173
LT;LT;23021960;1178;81748.95;EUR;465;BUY;Fname119;Lname119
LT;LT;14041978;9886;66866;EUR;898;BUY;First177;Last177
LU;LU;23041977;8404;44058.43;EUR;898;BUY;Fname120;Lname120
LU;LU;3101960;5112;1383;EUR;260;BUY;First178;Last178
LV;LV;23061964;6393;15621.51;EUR;6;BUY;Fname113;Lname113
LV;LV;5111957;6448;68045;EUR;231;SELL;First171;Last171
LY;LY;28021966;8710;4812.77;LYD;561;BUY;Fname117;Lname117
LY;LY;28111960;9731;2618;LYD;609;SELL;First175;Last175
MA;MA;28081959;8894;89648.40;MAD;330;SELL;Fname141;Lname141
MD;MD;25101975;5928;26118.53;MDL;128;SELL;Fname136;Lname136
MD;MD;25101975;5928;956496;MDL;128;BUY;Fname136;Lname136
MD;MD;25101975;5928;895;MDL;128;BUY;Fname136;Lname136
MD;MD;25101975;5928;2122;MDL;128;SELL;Fname136;Lname136
MF;MF;21071964;814;76059.06;EUR;41;SELL;First8;Last8
MG;MG;10081975;6324;96569.62;MGA;757;BUY;Fname123;Lname123
MG;MG;24121972;659;22118;MGA;443;BUY;First181;Last181
MH;MH;28091976;2604;13694.69;USD;753;SELL;Fname129;Lname129
MH;MH;3071957;112;66972;USD;32;BUY;First187;Last187
MK;MK;15021965;2246;71218.35;MKD;132;BUY;Fname122;Lname122
MK;MK;2011957;7684;7629;MKD;757;BUY;First180;Last180
ML;ML;15011976;8236;74047.22;XOF;434;SELL;Fname127;Lname127
ML;ML;2031956;4528;12990;XOF;513;BUY;First185;Last185
MM;MM;5041955;5934;72974.08;MMK;80;SELL;Fname143;Lname143
MO;MO;30041972;2035;79368.65;MOP;260;BUY;Fname121;Lname121
MP;MP;13111968;5254;62866.80;USD;551;BUY;Fname24;Lname24
MP;MP;13111968;5254;62866.80;USD;551;BUY;Fname156;Lname156
MQ;MQ;10111964;2828;9529.30;EUR;32;SELL;Fname130;Lname130
MQ;MQ;10111964;2828;3254;EUR;32;BUY;Fname130;Lname130
MQ;MQ;10111964;2828;5436;EUR;32;BUY;Fname130;Lname130
MQ;MQ;10111964;2828;4633;EUR;32;SELL;Fname130;Lname130
MQ;MQ;31101979;2220;54067;EUR;395;BUY;First188;Last188
MR;MR;7061963;7425;11094;MRO;628;BUY;First189;Last189
MS;MS;24071962;1488;94909.83;XCD;574;SELL;Fname140;Lname140
MT;MT;1071957;8198;43573.06;EUR;513;SELL;Fname128;Lname128
MT;MT;9071968;3458;97523;EUR;753;BUY;First186;Last186
MU;MU;18091969;3509;28693;MUR;407;BUY;First190;Last190
MV;MV;22121964;7551;56462.10;MVR;840;BUY;Fname126;Lname126
MV;MV;2051971;1679;89329;MVR;434;BUY;First184;Last184
MW;MW;13031970;5653;93379.80;MWK;443;BUY;Fname124;Lname124
MW;MW;9101961;7208;57182;MWK;484;BUY;First182;Last182
MX;MX;17091977;7761;73913.53;MXN;170;SELL;Fname134;Lname134
MX;MX;30071968;626;80146;MXN;642;BUY;First192;Last192
MY;MY;8081964;9431;18456.48;MYR;484;BUY;Fname125;Lname125
MY;MY;14071956;3620;26311;MYR;840;BUY;First183;Last183
MZ;MZ;13091959;2034;41911.44;MZN;817;SELL;Fname142;Lname142
NA;NA;9021965;2147;30636.68;ZAR;251;SELL;Fname144;Lname144
NC;NC;10071963;7999;63870.78;XPF;366;SELL;Fname148;Lname148
NE;NE;19061977;5149;89786.17;XOF;49;BUY;Fname2;Lname2
NE;NE;19061977;5149;89786.17;XOF;49;BUY;Fname151;Lname151
NF;NF;1021957;9454;38876.05;AUD;571;BUY;Fname22;Lname22
NF;NF;1021957;9454;38876.05;AUD;571;BUY;Fname154;Lname154
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname7;Lname7
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname8;Lname8
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname9;Lname9
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname10;Lname10
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname11;Lname11
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname12;Lname12
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname13;Lname13
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname14;Lname14
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname15;Lname15
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname16;Lname16
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname17;Lname17
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname18;Lname18
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname19;Lname19
NG;NG;28111973;8628;8156.15;NGN;414;BUY;Fname20;Lname20
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname152;Lname152
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname3;Lname3
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname4;Lname4
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname5;Lname5
NG;NG;28111973;8628;8156.15;NGN;767;BUY;Fname6;Lname6
NI;NI;19081971;7810;11037.12;NIO;147;BUY;Fname1;Lname1
NI;NI;19081971;7810;11037.12;NIO;147;BUY;Fname150;Lname150
NL;NL;5091973;286;36916.96;EUR;41;SELL;Fname147;Lname147
NO;NO;14051959;5588;89162.43;NOK;638;BUY;Fname25;Lname25
NO;NO;14051959;5588;89162.43;NOK;638;BUY;Fname157;Lname157
NP;NP;28011975;8169;343.65;NPR;671;SELL;Fname146;Lname146
NR;NR;26011958;6340;76261.05;AUD;160;SELL;Fname145;Lname145
NU;NU;31071975;8338;75523.79;NZD;414;BUY;Fname21;Lname21
NU;NU;31071975;8338;75523.79;NZD;414;BUY;Fname153;Lname153
NZ;NZ;20051979;1061;82010.92;NZD;715;SELL;Fname149;Lname149
OM;OM;2121970;6160;60592.65;OMR;378;BUY;Fname158;Lname158
OM;OM;2121970;6160;60592.65;OMR;378;BUY;Fname158;Lname158
PA;PA;29111976;7262;4385.32;USD;231;BUY;Fname30;Lname30
PA;PA;29111976;1953;7033.38;PGK;231;BUY;Fname30;Lname30
PA;PA;29111976;4781;16957.53;PYG;231;BUY;Fname30;Lname30
PA;PA;29111976;9706;92654.60;PEN;231;BUY;Fname30;Lname30
PA;PA;29111976;2725;29229.09;PHP;231;BUY;Fname30;Lname30
